Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Town Hall Meeting Survey
Informed Consent

Hello Chico Student:

The following online survey is part of an important university study on how to improve students' experiences at the Town Hall Meeting. It will take approximately 5-10 minutes to complete.

Taking part in this research is completely voluntary. If you choose to participate in this research, it is very important that you answer the questions as thoughtfully and frankly as possible. All your answers will be kept strictly confidential. You can stop participating at any time without penalty to your grade.
We also emphasize that you will NOT be penalized if you choose to omit answers to some questions on the survey. To record your answers, you must proceed all the way through the end of the survey, even if you choose to omit answers to some questions. In addition, proceeding to the very end of the survey will remove any survey response information from the screen on your computer/device, protecting your privacy. 

Your student ID is being collected so we can match your responses to other important university programs (U-Course, Town Hall Meeting, Great Debate) and demographic information. IDs may be used for statistical analysis alongside other data such as GPA, retention, and graduation rates. Again, your answers are strictly confidential, and we are bound by the rules of this University to maintain this confidentiality. Your information collected as part of this research will be stored on a password-protected computer in a locked office within the First-Year Experience Program office and on a protected server that is located behind a secure firewall at the University Office for Institutional Research. You must be 18 years of age or older to take this survey.

Thank you for filling out this survey as completely and honestly as you can. We are asking you to do this because we value your experience and ideas about how to improve students' experiences here at Chico State.

If you'd like more information about this project, contact the First-Year Experience office at fye@csuchico.edu or (530) 898-3705.","Student ID Number: 
This information is required so that you receive credit for completing this survey. 

Please enter your 9-digit student ID number.",Please re-enter your 9-digit student ID number.,"Demographic Data:
This data will help Undergraduate Studies, First-Year Experience, and the POLS department to better understand student populations as they are now, where they've been, and where they're headed.  This information is a powerful tool for tracking change over time, uncovering the needs and strengths of our student population, and will help guide course planning, policy development, funding requests, and University and department decision-making.

Are you Spanish, Hispanic, or LatinX?",Choose one or more races that apply to you:,What is your gender identity?,What is the highest degree or level of education completed by a parent?,Choose your current year in college:,Are you a transfer student?,Which policy area did you focus on?,"Breakout Rooms: 
Responses to the following questions will help First-Year Experience and the POLS department to continue to improve students' experience in this element of the Town Hall Meeting. Please be honest in your responses to guide the changes we may make for future semesters.

Describe what you learned through your participation in the Breakout Room in terms of the following statements: - I have ideas that are worth sharing.","Breakout Rooms: 
Responses to the following questions will help First-Year Experience and the POLS department to continue to improve students' experience in this element of the Town Hall Meeting. Please be honest in your responses to guide the changes we may make for future semesters.

Describe what you learned through your participation in the Breakout Room in terms of the following statements: - Other people are interested in my ideas.","Breakout Rooms: 
Responses to the following questions will help First-Year Experience and the POLS department to continue to improve students' experience in this element of the Town Hall Meeting. Please be honest in your responses to guide the changes we may make for future semesters.

Describe what you learned through your participation in the Breakout Room in terms of the following statements: - I can improve my policy topic solution now that I have more information.","Breakout Rooms: 
Responses to the following questions will help First-Year Experience and the POLS department to continue to improve students' experience in this element of the Town Hall Meeting. Please be honest in your responses to guide the changes we may make for future semesters.

Describe what you learned through your participation in the Breakout Room in terms of the following statements: - I learned a lot about my policy topic this semester.","Breakout Rooms: 
Responses to the following questions will help First-Year Experience and the POLS department to continue to improve students' experience in this element of the Town Hall Meeting. Please be honest in your responses to guide the changes we may make for future semesters.

Describe what you learned through your participation in the Breakout Room in terms of the following statements: - I can talk about my research with expertise.","Breakout Rooms: 
Responses to the following questions will help First-Year Experience and the POLS department to continue to improve students' experience in this element of the Town Hall Meeting. Please be honest in your responses to guide the changes we may make for future semesters.

Describe what you learned through your participation in the Breakout Room in terms of the following statements: - I want to learn more about my policy topic.","Breakout Rooms: 
Responses to the following questions will help First-Year Experience and the POLS department to continue to improve students' experience in this element of the Town Hall Meeting. Please be honest in your responses to guide the changes we may make for future semesters.

Describe what you learned through your participation in the Breakout Room in terms of the following statements: - I can talk to experts about my policy topic with confidence.","If you learned anything through your participation in the Breakout Rooms that is not listed above, please list it below.",Describe your experience in the Breakout Room in terms of the following statements: - The POLS 155 assignments prepared me to discuss my policy topic with others in the Breakout Room.,Describe your experience in the Breakout Room in terms of the following statements: - I felt prepared to participate in the Breakout Session after attending the practice session in class the week before the event.,Describe your experience in the Breakout Room in terms of the following statements: - All participants had the opportunity to participate.,Describe your experience in the Breakout Room in terms of the following statements: - My Breakout Room experience was a discussion rather than a presentation.,Describe your experience in the Breakout Room in terms of the following statements: - I was encouraged to discuss my position and research with my peers.,Describe your experience in the Breakout Room in terms of the following statements: - The consultants contributed effectively to the conversation.,Describe your experience in the Breakout Room in terms of the following statements: - The moderators effectively balanced the discussion between the students’ ideas and the consultant’s expertise.,Describe what you learned through your participation in the Closing Conversations in terms of the following statements: - I am a valued member of the city of Chico community.,Describe what you learned through your participation in the Closing Conversations in terms of the following statements: - Other people want me to be involved in my community.,Describe what you learned through your participation in the Closing Conversations in terms of the following statements: - I was able to talk to peers who researched different topics.,Describe what you learned through your participation in the Closing Conversations in terms of the following statements: - I had the opportunity to talk to at least one consultant from a different Breakout Room.,Describe what you learned through your participation in the Closing Conversations in terms of the following statements: - I had the opportunity to reflect on what happened in the Breakout Room with another participant.,Describe what you learned through your participation in the Closing Conversations in terms of the following statements: - I learned something new by participating in the Closing Conversations that I didn’t know before.,Describe what you learned through your participation in the Closing Conversations in terms of the following statements: - It was meaningful for me to have th eopportunity to interact with participants from other topics and breakout rooms.,"If you learned anything through your participation in the Closing Conversations that is not listed above, please list it below.","Your overall experience participating in Chico State's Town Hall Meeting: 
Responses to the following questions will help First-Year Experience and the POLS department to better understand the overall impact for students in terms of their learning and their identity as a successful college student after participating in this event. 

Describe your experience at Town Hall Meeting in terms of the following statement: I feel an increased connection to Chico State and the larger Chico community. - In preparation for the Town Hall Meeting event","Your overall experience participating in Chico State's Town Hall Meeting: 
Responses to the following questions will help First-Year Experience and the POLS department to better understand the overall impact for students in terms of their learning and their identity as a successful college student after participating in this event. 

Describe your experience at Town Hall Meeting in terms of the following statement: I feel an increased connection to Chico State and the larger Chico community. - In participating in the Town Hall Meeting event",Describe your experience at Town Hall Meeting in terms of the following statement: My confidence in my academic ability increased. - In preparation for the Town Hall Meeting event,Describe your experience at Town Hall Meeting in terms of the following statement: My confidence in my academic ability increased. - In participating in the Town Hall Meeting event,Describe your experience at Town Hall Meeting in terms of the following statement: I feel more confident in my ability to create change in my community. - In preparation for the Town Hall Meeting event,Describe your experience at Town Hall Meeting in terms of the following statement: I feel more confident in my ability to create change in my community. - In participating in the Town Hall Meeting event,Would you recommend the Town Hall Meeting next semester to others?,How was the Town Hall Meeting event a meaningful experience for you as a Chico State student and as a member of the wider Chico community?,Describe your experience participating in the event as if you were talking to a friend.
4/6/2025 13:07,4/6/2025 13:21,IP Address,67.181.134.238,100,858,TRUE,4/6/2025 13:21,R_3Xjw0F8pwUkAfpw,,,,,39.8068,-121.867,anonymous,EN,"I am 18 years of age or older, and I agree to take this survey.",11966618,11966618,None of these,I would prefer not to answer,Woman,"Bachelor's degree (BA, BS)",Second Year,No,Infrastructure Policy,Agree,Agree,Agree,Agree,Agree,Agree,Agree,It is actually my first time hearing such terms like zoning.,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I have learned about some great solutions from people with firearms policy,Agree,Agree,Agree,Disagree,Disagree,Agree,No,Town Hall Meeting was a manful experience to me as a Chico State because I was able to search up solutions that could possibly help our community.,I felt like it was very unnecessary but I did learn a few things that got my interest. I would recommend it but I feel like it was also a waste of time and it could be nerve wrecking for someone who is very introverted.
4/7/2025 1:27,4/7/2025 1:32,IP Address,76.114.63.193,100,327,TRUE,4/7/2025 1:32,R_5fLa60UrBlMHvlT,,,,,39.7458,-121.8444,anonymous,EN,"I am 18 years of age or older, and I agree to take this survey.",12726039,12726039,None of these,"Asian American,White",Man,"Bachelor's degree (BA, BS)",Third Year,Yes,Climate/Environmental Policy,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,I think it was meaningful to get with likeminded students to be able to foster good conversation and further my own ideas.,It was a discussion where a bunch of people with different subcategories of the general policy got together to talk about the differences and similarities of their policies. It was a conversation mediated by people who knew a thing or two about the field and helped push conversation along. It was a fun event that many people took part in!
4/7/2025 10:54,4/7/2025 11:00,IP Address,132.241.174.38,100,330,TRUE,4/7/2025 11:00,R_5pw5EubC9xFSb1D,,,,,39.7458,-121.8444,anonymous,EN,"I am 18 years of age or older, and I agree to take this survey.",12663639,12663639,Yes,White,Woman,"Bachelor's degree (BA, BS)",First Year,No,Education Policy,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Yes,I found it super helpful to be able to discuss with peers that are also very passionate about my same policy topic.,It was honestly really fun since I was able to talk to other students that also care and are knowledgeable on the things affecting us in local and state government.
4/7/2025 11:00,4/7/2025 11:04,IP Address,132.241.174.52,100,279,TRUE,4/7/2025 11:04,R_3bNavXLwkIR9rE3,,,,,39.7458,-121.8444,anonymous,EN,"I am 18 years of age or older, and I agree to take this survey.",12116963,12116963,None of these,White,Man,"high school diploma, GED, or alternative credential",Second Year,No,Gun Safety/Violence Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,It was a unique experience,It was a cool experience.
4/7/2025 11:03,4/7/2025 11:06,IP Address,132.241.174.6,100,205,TRUE,4/7/2025 11:06,R_7H74Vxh9AziyTzg,,,,,39.7458,-121.8444,anonymous,EN,"I am 18 years of age or older, and I agree to take this survey.",12362130,12362130,None of these,White,Woman,less than 1 year of college credit,Third Year,Yes,Education Policy,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,,Agree,Agree,Agree,Agree,Agree,Disagree,Yes,,
4/7/2025 11:03,4/7/2025 11:07,IP Address,132.241.174.88,100,245,TRUE,4/7/2025 11:07,R_1X7h24ufgeiO4Qq,,,,,39.7458,-121.8444,anonymous,EN,"I am 18 years of age or older, and I agree to take this survey.",12340173,12340173,None of these,,Man,,Third Year,Yes,Education Policy,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,Seeing the school and volunteers put so much time and effort into the event just to hear us speak on our issues showed how the community is investing in us and guiding us.,It was a good time sharing and hearing about issues that affect people around us and possible solutions to them
4/7/2025 11:02,4/7/2025 11:09,IP Address,132.241.174.185,100,378,TRUE,4/7/2025 11:09,R_6N3Oip6zgi8HfSV,,,,,39.7458,-121.8444,anonymous,EN,"I am 18 years of age or older, and I agree to take this survey.",12564644,12564644,Yes,I would prefer not to answer,Woman,"high school diploma, GED, or alternative credential",First Year,No,Immigration Policy,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,,Disagree,Agree,Agree,Agree,Disagree,Disagree,No,"It gave me an opportunity to research a policy issue that is, or can be, prominent in my community and it helped me connect with others that have the same views as me. ","It was an interesting experience, however, depending on your comfort with high groups you will not really talk much since it is such a big group. In my opinion it would be better with smaller groups that way you would be more comfortable to speak up."
4/7/2025 11:03,4/7/2025 11:10,IP Address,132.241.174.188,100,376,TRUE,4/7/2025 11:10,R_3fOFywu0LNPTpBv,,,,,39.7458,-121.8444,anonymous,EN,"I am 18 years of age or older, and I agree to take this survey.",11891335,11891335,None of these,White,Woman,"Bachelor's degree (BA, BS)",Second Year,No,Food/Agriculture Policy,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,None,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,none,Agree,Agree,Agree,Agree,Agree,Agree,Yes,This was meaningful for me because I got to meet some people with the same values as me and ideas. ,You go in to a classroom and have a small group discussion. It is very chill and you can chose if and when you want to talk. Then you go into an auditorium with everyone and get to talk to more moderators and students. 
4/7/2025 11:04,4/7/2025 11:11,IP Address,132.241.174.179,100,403,TRUE,4/7/2025 11:11,R_6HpnykwuJwcQAHj,,,,,39.7458,-121.8444,anonymous,EN,"I am 18 years of age or older, and I agree to take this survey.",11931791,11931791,None of these,White,Woman,1 or more years of college credit,Second Year,No,Healthcare Policy,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Yes,It was meaningful in a way that I gained more experience by participating in an event of that manner. I learned some valuable skills and new ideas regarding my topic.,"I was anxious about the event and I didn’t think I was prepared as much as I should've been, but I think that is more my fault than the instructors. "
4/7/2025 11:02,4/7/2025 11:11,IP Address,132.241.174.11,100,515,TRUE,4/7/2025 11:11,R_3daUe2p6RxoRPUh,,,,,39.7458,-121.8444,anonymous,EN,"I am 18 years of age or older, and I agree to take this survey.",12696698,12696698,None of these,White,Woman,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",First Year,No,Reproductive Health Policy,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,,Disagree,Disagree,Agree,Agree,Disagree,Disagree,No,"It was nice to get to talk to others about more meaningful topics that are more relevant to todays society, and get to see how peoples upbringing affected how they viewed these topics.","I would say that overall the event was okay, but definitely took at lot of time out of my evening. I also feel like since everyone in my group has similar standpoints on the topic it was harder to discuss because we were always agreeing. "
